id,series_code,series_name,title,audience,duration_s,screenshot,need_record
079,G,知识库RAG,知识库失效自动自愈不报错,政企IT,30,W-KB,否
080,H,批量处理,清理未使用的样式,通用办公,24,W-TEXT,否
081,H,批量处理,统计已使用样式,通用办公,22,W-TEXT,否
082,H,批量处理,一键删除空白行,通用办公,22,W-TEXT,否
083,H,批量处理,表格批量自动行宽,通用办公,26,W-TEXT,是
084,H,批量处理,按文字删表格行列,通用办公,26,W-TEXT,是
085,H,批量处理,图像批量加题注,通用办公,26,W-TEXT,是
086,H,批量处理,批量导出删除全部图像,通用办公,26,W-TEXT,是
087,I,多模态,文本转图像一键配图,创意办公,28,W-TEXT,否
088,I,多模态,文本转语音生成音频,创意办公,28,W-ASSIST,是
089,I,多模态,文本转视频生成短片,创意办公,30,W-TEXT,否
090,I,多模态,多模态模型一处配置,政企IT,28,W-DEFAULT,否
091,I,多模态,图文一体生成,创意办公,28,W-DEFAULT,是
092,J,部署信任开源,完全离线本地模型运行,政企IT,32,W-MODEL,否
093,J,部署信任开源,密钥与文档不出域,政企IT,32,W-MODEL,否
094,J,部署信任开源,本地加云端模型混用,政企IT,32,W-MODEL,否
095,J,部署信任开源,170多个模型自由选,职场通用,30,C-MARKET,否
096,J,部署信任开源,开源可审计Apache2.0,技术决策,30,W-ABOUT,否
097,J,部署信任开源,一套引擎四档形态,采购决策,33,C-HOME,否
098,J,部署信任开源,桌面版单机安装即用,个人用户,30,C-HOME,否
099,J,部署信任开源,服务版全科室共用,政企采购,33,C-KBLIST,否
100,J,部署信任开源,至臻版万人网络版,大型企业,34,C-HOME,否
